Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Status
2025-11-17 21:56:33,234.0,0.156,17.9,2.5e-05,ON
2025-11-17 21:56:38,234.0,0.156,17.9,5e-05,ON
2025-11-17 21:56:43,234.0,0.156,17.9,7.5e-05,ON
2025-11-17 21:56:48,234.0,0.156,17.9,9.9e-05,ON
2025-11-17 21:56:53,234.0,0.156,17.9,0.000124,ON
2025-11-17 21:56:58,231.8,0.158,24.3,0.000158,ON
2025-11-17 21:57:03,231.8,0.132,17.6,0.000183,ON
2025-11-17 21:57:08,232.3,0.126,12.3,0.0002,ON
2025-11-17 21:57:13,232.3,0.145,18.3,0.000225,ON
2025-11-17 21:57:18,231.8,0.178,23.3,0.000257,ON
2025-11-17 21:57:23,231.8,0.178,23.3,0.00029,ON
2025-11-17 21:57:28,231.8,0.178,23.3,0.000322,ON
2025-11-17 21:57:33,231.8,0.178,23.3,0.000354,ON
2025-11-17 21:57:39,231.8,0.178,23.3,0.000387,ON
2025-11-17 21:57:44,231.8,0.178,23.3,0.000419,ON
2025-11-17 21:57:49,231.8,0.178,23.3,0.000452,ON
2025-11-17 21:57:54,233.6,0.133,15.0,0.000472,ON
2025-11-17 21:57:59,233.6,0.133,15.0,0.000493,ON
2025-11-17 21:58:04,233.6,0.133,15.0,0.000514,ON
2025-11-17 21:58:09,233.6,0.133,15.0,0.000535,ON
2025-11-17 21:58:14,233.6,0.133,15.0,0.000556,ON
2025-11-17 21:58:19,233.6,0.133,15.0,0.000577,ON
2025-11-17 21:58:24,233.6,0.133,15.0,0.000597,ON
2025-11-17 21:58:29,233.6,0.133,15.0,0.000618,ON
2025-11-17 21:58:34,233.6,0.133,15.0,0.000639,ON
2025-11-17 21:58:39,233.6,0.133,15.0,0.00066,ON
2025-11-17 21:58:44,233.6,0.133,15.0,0.000681,ON
2025-11-17 21:58:49,233.6,0.133,15.0,0.000702,ON
2025-11-17 21:58:54,233.6,0.133,15.0,0.000722,ON
2025-11-17 21:58:59,234.0,0.217,29.1,0.000763,ON
2025-11-17 21:59:04,234.0,0.217,29.1,0.000803,ON
2025-11-17 21:59:09,234.0,0.217,29.1,0.000844,ON
2025-11-17 21:59:14,234.0,0.217,29.1,0.000884,ON
2025-11-17 21:59:19,234.0,0.217,29.1,0.000924,ON
2025-11-17 21:59:24,234.0,0.217,29.1,0.000965,ON
2025-11-17 21:59:29,234.0,0.217,29.1,0.001005,ON
2025-11-17 21:59:34,234.0,0.217,29.1,0.001046,ON
2025-11-17 21:59:39,234.0,0.217,29.1,0.001086,ON
2025-11-17 21:59:45,234.0,0.217,29.1,0.001127,ON
2025-11-17 21:59:50,234.0,0.217,29.1,0.001167,ON
2025-11-17 21:59:55,234.0,0.217,29.1,0.001207,ON
2025-11-17 22:00:00,234.0,0.217,29.1,0.001248,ON
2025-11-17 22:00:05,232.7,0.124,14.6,0.001268,ON
2025-11-17 22:00:10,232.7,0.18,20.3,0.001296,ON
2025-11-17 22:00:15,232.7,0.18,20.3,0.001324,ON
2025-11-17 22:00:20,232.7,0.18,20.3,0.001353,ON
2025-11-17 22:00:25,232.7,0.18,20.3,0.001381,ON
2025-11-17 22:00:30,232.7,0.18,20.3,0.001409,ON
2025-11-17 22:00:35,232.7,0.18,20.3,0.001437,ON
2025-11-17 22:00:40,232.7,0.18,20.3,0.001465,ON
2025-11-17 22:00:45,234.0,0.124,14.3,0.001485,ON
2025-11-17 22:00:50,234.0,0.124,14.3,0.001505,ON
2025-11-17 22:00:55,234.0,0.124,14.3,0.001525,ON
2025-11-17 22:01:00,234.0,0.124,14.3,0.001545,ON
2025-11-17 22:01:05,234.0,0.124,14.3,0.001565,ON
2025-11-17 22:01:10,234.0,0.124,14.3,0.001585,ON
2025-11-17 22:01:15,234.0,0.124,14.3,0.001604,ON
2025-11-17 22:01:20,234.0,0.124,14.3,0.001624,ON
2025-11-17 22:01:25,234.0,0.124,14.3,0.001644,ON
2025-11-17 22:01:30,234.0,0.124,14.3,0.001664,ON
2025-11-17 22:01:35,234.0,0.124,14.3,0.001684,ON
2025-11-17 22:01:40,234.0,0.124,14.3,0.001704,ON
2025-11-17 22:01:45,234.0,0.124,14.3,0.001724,ON
2025-11-17 22:01:50,234.0,0.124,14.3,0.001743,ON
2025-11-17 22:01:56,234.0,0.124,14.3,0.001763,ON
2025-11-17 22:02:01,234.0,0.124,14.3,0.001783,ON
